person_id,movie_id
206,12222
206,17979
206,37165
206,58224
206,59859
206,100042
206,340674
206,454626
206,675353
206,939243
207,38
207,272
207,1934
207,2024
207,2109
207,2253
207,3635
207,4566
207,8643
207,9427
207,10586
207,11439
207,11469
207,13809
207,15775
207,16558
207,40805
207,57201
207,74534
207,81684
207,120467
207,239573
207,262338
207,273895
207,302401
207,330483
207,476926
207,595743
209,38
209,1440
209,11774
209,17379
209,243688
212,38
212,608
212,4248
212,6477
212,9502
212,9655
212,9894
212,9975
212,11551
212,15854
212,17610
212,23398
212,38055
212,49444
212,55301
212,57718
212,140300
212,424781
212,446354
216,11565
216,12222
216,14043
216,14059
216,15487
216,48844
224,9426
224,11470
224,970947
225,59
225,13689
225,14223
225,479040
226,59
227,59
227,231
227,644
227,1247
227,1537
227,1724
227,2157
227,2666
227,2928
227,3432
227,5915
227,6947
227,7461
227,8289
227,11542
227,12560
227,14412
227,20662
227,65034
227,72710
227,137321
227,245842
227,323677
227,442065
227,497698
228,59
228,453
228,568
228,590
228,853
228,2756
228,4771
228,6637
228,8986
228,9441
228,9504
228,9549
228,9802
228,10922
228,12690
228,13252
228,13681
228,13920
228,16281
228,17182
228,37165
228,37233
228,49009
228,49047
228,49527
228,110415
228,134374
228,218836
228,241554
228,259611
228,274855
228,291328
228,381283
228,442065
228,948549
228,1127767
229,59
229,884
229,2055
229,10559
229,241257
229,447362
229,597208
230,59
230,1271
230,1381
230,4141
230,9954
230,11013
230,13183
230,23963
230,35588
230,37958
230,209247
230,290555
230,290637
231,59
231,1724
231,4141
231,11917
231,37958
231,419704
231,592834
231,621870
231,809314
231,1275003
232,59
232,9779
232,9954
232,16763
233,59
237,59
237,10529
237,12103
237,12767
245,62
245,1247
245,4437
245,401905
246,62
247,62
248,62
249,62
249,3175
249,17917
249,271649
250,62
250,116
251,62
251,11046
251,11411
252,62
252,11336
253,62
253,4437
258,55
258,140
258,1164
258,1391
258,37056
258,257094
258,354288
258,354912
258,552688
258,631843
258,894205
259,55
260,55
261,55
261,1156593
262,55
263,55
263,1391
263,36669
264,55
265,55
266,55
268,55
269,55
270,55
270,1164
270,10195
270,16871
270,284276
270,293646
270,499701
270,522938
270,565770
270,615677
280,583
280,762
280,4543
280,297725
287,63
287,107
287,161
287,163
287,293
287,297
287,298
287,319
287,550
287,628
287,652
287,787
287,807
287,819
287,978
287,1164
287,1535
287,1541
287,4476
287,4477
287,4512
287,4922
287,4944
287,6073
287,8967
287,14239
287,14411
287,16869
287,38055
287,60308
287,64689
287,65759
287,72190
287,76203
287,109091
287,228150
287,318846
287,354287
287,369885
287,419704
287,466272
287,615777
287,718930
287,752623
287,877817
287,911430
288,63
288,1592
288,8961
288,15070
288,16052
288,16219
288,70074
289,63
289,2275
289,9361
289,10590
289,10859
289,14249
289,17494
289,32669
290,63
290,231
290,388
290,453
290,1966
290,2044
290,2059
290,4978
290,8054
290,9008
290,10023
290,10395
290,10577
290,11400
290,11463
290,11843
290,11929
290,12244
290,12767
290,13957
290,14160
290,15121
290,16633
290,24099
290,29339
290,33157
290,38321
290,55347
290,65754
290,355547
290,442065
290,446791
290,450322
290,546554
291,2661
291,24476
291,276214
323,2757
325,65
325,1244999
326,65
326,268
326,918
326,2087
326,2118
326,4823
326,5820
326,8873
326,9759
326,10068
326,11393
326,12120
326,14239
326,17436
326,36670
326,37950
326,64807
326,290250
326,337167
326,341174
327,65
327,924
327,3600
327,10028
327,31894
327,62046
327,157350
327,262500
327,1047373
328,65
328,3558
328,9603
328,9836
328,10490
328,12079
328,12090
328,12103
328,14926
333,65
333,9918
333,20504
333,188161
333,264656
333,339692
333,406761
333,449443
334,65
334,4380
334,6020
334,8274
334,10060
334,27022
334,204082
334,421473
334,765172
334,1233413
335,65
335,676
335,1903
335,4148
335,7972
335,8961
335,10628
335,11560
335,11699
335,20533
335,44982
335,45610
335,49521
335,64720
335,68812
335,103731
335,215379
335,245703
335,296100
335,298618
335,340666
335,399055
335,401905
335,418879
335,429351
335,546554
335,664469
335,718930
335,1008409
336,8836
336,9766
336,10982
336,11679
336,11699
337,65
337,1244999
341,65
342,65
342,922
342,11237
342,29812
342,618354
342,765172
343,65
343,10063
343,17097
343,17130
343,1012148
343,1070777
346,49444
346,77950
349,28
349,274
349,1646
349,1669
349,2034
349,2503
349,2924
349,9549
349,10684
349,11509
349,11678
349,23629
349,39486
349,49040
349,524047
349,862557
350,322
350,508
350,1592
350,2637
350,8643
350,9895
350,10329
350,10707
350,11615
350,12435
350,14291
350,37165
350,51052
350,280996
350,308531
350,340666
350,363676
351,290
351,1887
351,2639
351,2742
351,9767
351,157841
351,298382
352,25
352,189
352,1090
352,9942
352,12618
352,14411
352,49444
352,184098
352,201550
352,205724
352,278942
352,353491
352,407375
352,420821
352,433251
352,514439
352,554241
352,612152
352,626332
352,833425
368,69
368,796
368,1359
368,2657
368,7985
368,8835
368,9007
368,9451
368,9678
368,10327
368,10543
368,11529
368,12193
368,15512
368,17474
368,42888
368,55787
368,59962
368,103731
368,171274
368,228970
368,250538
368,268920
368,335797
368,407451
368,427900
368,438695
368,691179
368,703451
368,996821
374,68
374,583
374,14506
378,22
378,58
378,68
378,285
378,714
378,4442
378,8195
378,9504
378,10202
378,10307
378,10436
378,10735
378,14506
378,14869
378,72559
378,266285
378,294793
378,297725
378,304357
378,340613
378,450322
378,551332
378,744653
378,760774
378,1001865
378,1086497
378,1195631
380,68
380,103
380,117
380,184
380,203
380,240
380,262
380,311
380,524
380,635
380,693
380,769
380,819
380,949
380,1247
380,1578
380,1597
380,1598
380,1607
380,2142
380,2270
380,2924
380,3036
380,5851
380,5971
380,8092
380,8195
380,9013
380,9410
